run_id,candidate,task_id,repeat,trial_status,file_selected,edit_attempted,edit_applied,disk_write_success,test_invoked,test_passed,clean_audit,unexpected_mutations,overall_success,latency_ms,prompt_eval_count,eval_count
"CAND_A_BASELINE_M7_LINE_ENDINGS_rep5","A_BASELINE","M7_LINE_ENDINGS",5,"VALID_FAIL",true,true,false,false,false,null,true,0,false,11265,7399,197
"CAND_A_BASELINE_M8_DISTRACTOR_FILES_rep1","A_BASELINE","M8_DISTRACTOR_FILES",1,"VALID_FAIL",true,true,false,false,false,false,true,0,false,10648,7479,197
"CAND_A_BASELINE_M8_DISTRACTOR_FILES_rep2","A_BASELINE","M8_DISTRACTOR_FILES",2,"VALID_FAIL",true,true,false,false,false,false,true,0,false,10680,7479,197
"CAND_A_BASELINE_M8_DISTRACTOR_FILES_rep3","A_BASELINE","M8_DISTRACTOR_FILES",3,"VALID_FAIL",true,true,false,false,false,false,true,0,false,10571,7479,197
"CAND_A_BASELINE_M8_DISTRACTOR_FILES_rep4","A_BASELINE","M8_DISTRACTOR_FILES",4,"VALID_FAIL",true,true,false,false,false,false,true,0,false,10606,7479,197
"CAND_A_BASELINE_M8_DISTRACTOR_FILES_rep5","A_BASELINE","M8_DISTRACTOR_FILES",5,"VALID_FAIL",true,true,false,false,false,false,true,0,false,10549,7479,197
"CAND_A_BASELINE_M9_DISAMBIGUATION_rep1","A_BASELINE","M9_DISAMBIGUATION",1,"VALID_PASS",true,true,true,true,true,true,true,0,true,11145,9446,126
"CAND_A_BASELINE_M9_DISAMBIGUATION_rep2","A_BASELINE","M9_DISAMBIGUATION",2,"VALID_PASS",true,true,true,true,true,true,true,0,true,10709,9446,126
"CAND_A_BASELINE_M9_DISAMBIGUATION_rep3","A_BASELINE","M9_DISAMBIGUATION",3,"VALID_PASS",true,true,true,true,true,true,true,0,true,10655,9446,126
"CAND_A_BASELINE_M9_DISAMBIGUATION_rep4","A_BASELINE","M9_DISAMBIGUATION",4,"VALID_PASS",true,true,true,true,true,true,true,0,true,10719,9446,126
"CAND_A_BASELINE_M9_DISAMBIGUATION_rep5","A_BASELINE","M9_DISAMBIGUATION",5,"VALID_PASS",true,true,true,true,true,true,true,0,true,10726,9446,126
"CAND_A_BASELINE_M10_RETRY_RECOVERY_rep1","A_BASELINE","M10_RETRY_RECOVERY",1,"VALID_PASS",true,true,true,true,true,true,true,0,true,16302,17359,183
"CAND_A_BASELINE_M10_RETRY_RECOVERY_rep2","A_BASELINE","M10_RETRY_RECOVERY",2,"VALID_PASS",true,true,true,true,true,true,true,0,true,17589,17359,183
"CAND_A_BASELINE_M10_RETRY_RECOVERY_rep3","A_BASELINE","M10_RETRY_RECOVERY",3,"VALID_PASS",true,true,true,true,true,true,true,0,true,17563,17189,178
"CAND_A_BASELINE_M10_RETRY_RECOVERY_rep4","A_BASELINE","M10_RETRY_RECOVERY",4,"VALID_FAIL",false,true,false,false,true,false,true,0,false,25502,16781,370
"CAND_A_BASELINE_M10_RETRY_RECOVERY_rep5","A_BASELINE","M10_RETRY_RECOVERY",5,"VALID_PASS",true,true,true,true,true,true,true,0,true,20282,17189,178
"CAND_A_BASELINE_M11_CONSTRAINT_RETENTION_rep1","A_BASELINE","M11_CONSTRAINT_RETENTION",1,"VALID_FAIL",true,true,false,false,false,false,true,0,false,13297,8380,182
"CAND_A_BASELINE_M11_CONSTRAINT_RETENTION_rep2","A_BASELINE","M11_CONSTRAINT_RETENTION",2,"VALID_FAIL",false,false,false,false,false,false,true,0,false,4519,605,113
"CAND_A_BASELINE_M11_CONSTRAINT_RETENTION_rep3","A_BASELINE","M11_CONSTRAINT_RETENTION",3,"VALID_FAIL",false,false,false,false,false,false,true,0,false,4280,605,113
"CAND_A_BASELINE_M11_CONSTRAINT_RETENTION_rep4","A_BASELINE","M11_CONSTRAINT_RETENTION",4,"VALID_FAIL",false,false,false,false,false,false,true,0,false,4326,605,113
"CAND_A_BASELINE_M11_CONSTRAINT_RETENTION_rep5","A_BASELINE","M11_CONSTRAINT_RETENTION",5,"VALID_FAIL",false,false,false,false,false,false,true,0,false,4315,605,113
"CAND_A_BASELINE_M12_FOCUSED_FILE_rep1","A_BASELINE","M12_FOCUSED_FILE",1,"VALID_FAIL",true,false,false,false,false,false,true,0,false,11419,6379,156
"CAND_A_BASELINE_M12_FOCUSED_FILE_rep2","A_BASELINE","M12_FOCUSED_FILE",2,"VALID_FAIL",true,false,false,false,false,false,true,0,false,11301,6379,156
"CAND_A_BASELINE_M12_FOCUSED_FILE_rep3","A_BASELINE","M12_FOCUSED_FILE",3,"VALID_FAIL",true,false,false,false,false,false,true,0,false,10974,6379,156
"CAND_A_BASELINE_M12_FOCUSED_FILE_rep4","A_BASELINE","M12_FOCUSED_FILE",4,"VALID_FAIL",true,false,false,false,false,false,true,0,false,11114,6379,156
"CAND_A_BASELINE_M12_FOCUSED_FILE_rep5","A_BASELINE","M12_FOCUSED_FILE",5,"VALID_FAIL",true,false,false,false,false,false,true,0,false,11801,6379,156
"CAND_A_BASELINE_M13_EXPLICIT_OVERRIDES_FOCUS_rep1","A_BASELINE","M13_EXPLICIT_OVERRIDES_FOCUS",1,"VALID_FAIL",true,true,true,true,true,null,false,1,false,25367,17958,237
"CAND_A_BASELINE_M13_EXPLICIT_OVERRIDES_FOCUS_rep2","A_BASELINE","M13_EXPLICIT_OVERRIDES_FOCUS",2,"VALID_FAIL",true,true,true,true,true,null,false,1,false,23408,17940,234
"CAND_A_BASELINE_M13_EXPLICIT_OVERRIDES_FOCUS_rep3","A_BASELINE","M13_EXPLICIT_OVERRIDES_FOCUS",3,"VALID_FAIL",true,true,true,true,true,null,false,1,false,22770,17958,237
"CAND_A_BASELINE_M13_EXPLICIT_OVERRIDES_FOCUS_rep4","A_BASELINE","M13_EXPLICIT_OVERRIDES_FOCUS",4,"VALID_FAIL",true,true,true,true,true,null,false,1,false,22318,17958,237
"CAND_A_BASELINE_M13_EXPLICIT_OVERRIDES_FOCUS_rep5","A_BASELINE","M13_EXPLICIT_OVERRIDES_FOCUS",5,"VALID_FAIL",true,true,true,true,true,null,false,1,false,25470,17709,245
"CAND_A_BASELINE_M14_STALE_CONTENT_SAFETY_rep1","A_BASELINE","M14_STALE_CONTENT_SAFETY",1,"VALID_FAIL",true,true,false,false,false,null,true,0,false,12071,7439,197
"CAND_A_BASELINE_M14_STALE_CONTENT_SAFETY_rep2","A_BASELINE","M14_STALE_CONTENT_SAFETY",2,"VALID_FAIL",true,true,false,false,false,null,true,0,false,11404,7439,197
"CAND_A_BASELINE_M14_STALE_CONTENT_SAFETY_rep3","A_BASELINE","M14_STALE_CONTENT_SAFETY",3,"VALID_FAIL",true,true,false,false,false,null,true,0,false,11016,7439,197
"CAND_A_BASELINE_M14_STALE_CONTENT_SAFETY_rep4","A_BASELINE","M14_STALE_CONTENT_SAFETY",4,"VALID_FAIL",true,true,false,false,false,null,true,0,false,11731,7439,197
"CAND_A_BASELINE_M14_STALE_CONTENT_SAFETY_rep5","A_BASELINE","M14_STALE_CONTENT_SAFETY",5,"VALID_FAIL",true,true,false,false,false,null,true,0,false,11867,7439,197
