run_id,batch,task_id,repeat,trial_status,disk_write_success,test_success,clean_audit,unexpected_mutations,overall_success,latency_ms,prompt_eval_count,eval_count
"BASELINE_BATCH_A_M8_DISTRACTOR_FILES_rep4","batch_a","M8_DISTRACTOR_FILES",4,"VALID_FAIL",false,false,true,0,false,10835,7479,197
"BASELINE_BATCH_A_M8_DISTRACTOR_FILES_rep5","batch_a","M8_DISTRACTOR_FILES",5,"VALID_FAIL",true,false,false,1,false,26695,18000,286
"BASELINE_BATCH_A_M9_DISAMBIGUATION_rep1","batch_a","M9_DISAMBIGUATION",1,"VALID_PASS",true,true,true,0,true,11410,9435,126
"BASELINE_BATCH_A_M9_DISAMBIGUATION_rep2","batch_a","M9_DISAMBIGUATION",2,"VALID_PASS",true,true,true,0,true,11037,9435,126
"BASELINE_BATCH_A_M9_DISAMBIGUATION_rep3","batch_a","M9_DISAMBIGUATION",3,"VALID_PASS",true,true,true,0,true,11167,9435,126
"BASELINE_BATCH_A_M9_DISAMBIGUATION_rep4","batch_a","M9_DISAMBIGUATION",4,"VALID_PASS",true,true,true,0,true,11181,9435,126
"BASELINE_BATCH_A_M9_DISAMBIGUATION_rep5","batch_a","M9_DISAMBIGUATION",5,"VALID_PASS",true,true,true,0,true,11060,9435,126
"BASELINE_BATCH_A_M10_RETRY_RECOVERY_rep1","batch_a","M10_RETRY_RECOVERY",1,"VALID_FAIL",false,false,true,0,false,23155,16772,370
"BASELINE_BATCH_A_M10_RETRY_RECOVERY_rep2","batch_a","M10_RETRY_RECOVERY",2,"VALID_PASS",true,true,true,0,true,15919,17179,178
"BASELINE_BATCH_A_M10_RETRY_RECOVERY_rep3","batch_a","M10_RETRY_RECOVERY",3,"VALID_PASS",true,true,true,0,true,15858,17179,178
"BASELINE_BATCH_A_M10_RETRY_RECOVERY_rep4","batch_a","M10_RETRY_RECOVERY",4,"VALID_FAIL",false,false,true,0,false,20862,14545,391
"BASELINE_BATCH_A_M10_RETRY_RECOVERY_rep5","batch_a","M10_RETRY_RECOVERY",5,"VALID_PASS",true,true,true,0,true,15879,17179,178
"BASELINE_BATCH_A_M11_CONSTRAINT_RETENTION_rep1","batch_a","M11_CONSTRAINT_RETENTION",1,"VALID_FAIL",false,false,true,0,false,10816,8380,182
"BASELINE_BATCH_A_M11_CONSTRAINT_RETENTION_rep2","batch_a","M11_CONSTRAINT_RETENTION",2,"VALID_FAIL",false,false,true,0,false,4197,605,113
"BASELINE_BATCH_A_M11_CONSTRAINT_RETENTION_rep3","batch_a","M11_CONSTRAINT_RETENTION",3,"VALID_FAIL",false,false,true,0,false,4165,605,113
"BASELINE_BATCH_A_M11_CONSTRAINT_RETENTION_rep4","batch_a","M11_CONSTRAINT_RETENTION",4,"VALID_FAIL",false,false,true,0,false,4141,605,113
"BASELINE_BATCH_A_M11_CONSTRAINT_RETENTION_rep5","batch_a","M11_CONSTRAINT_RETENTION",5,"VALID_FAIL",false,false,true,0,false,4132,605,113
"BASELINE_BATCH_A_M12_FOCUSED_FILE_rep1","batch_a","M12_FOCUSED_FILE",1,"VALID_FAIL",false,false,true,0,false,9419,6379,156
"BASELINE_BATCH_A_M12_FOCUSED_FILE_rep2","batch_a","M12_FOCUSED_FILE",2,"VALID_FAIL",false,false,true,0,false,9273,6379,156
"BASELINE_BATCH_A_M12_FOCUSED_FILE_rep3","batch_a","M12_FOCUSED_FILE",3,"VALID_FAIL",false,false,true,0,false,9298,6379,156
"BASELINE_BATCH_A_M12_FOCUSED_FILE_rep4","batch_a","M12_FOCUSED_FILE",4,"VALID_FAIL",false,false,true,0,false,9331,6379,156
"BASELINE_BATCH_A_M12_FOCUSED_FILE_rep5","batch_a","M12_FOCUSED_FILE",5,"VALID_FAIL",false,false,true,0,false,9247,6379,156
"BASELINE_BATCH_A_M13_EXPLICIT_OVERRIDES_FOCUS_rep1","batch_a","M13_EXPLICIT_OVERRIDES_FOCUS",1,"VALID_FAIL",true,null,false,1,false,20063,17913,225
"BASELINE_BATCH_A_M13_EXPLICIT_OVERRIDES_FOCUS_rep2","batch_a","M13_EXPLICIT_OVERRIDES_FOCUS",2,"VALID_FAIL",true,null,false,1,false,22036,17913,225
"BASELINE_BATCH_A_M13_EXPLICIT_OVERRIDES_FOCUS_rep3","batch_a","M13_EXPLICIT_OVERRIDES_FOCUS",3,"VALID_FAIL",true,null,false,1,false,23125,17913,225
"BASELINE_BATCH_A_M13_EXPLICIT_OVERRIDES_FOCUS_rep4","batch_a","M13_EXPLICIT_OVERRIDES_FOCUS",4,"VALID_FAIL",true,null,false,1,false,23015,16324,278
"BASELINE_BATCH_A_M13_EXPLICIT_OVERRIDES_FOCUS_rep5","batch_a","M13_EXPLICIT_OVERRIDES_FOCUS",5,"VALID_FAIL",true,null,false,1,false,23780,17940,240
