run_id,candidate,task_id,repeat,disk_write_success,test_success,clean_audit,unexpected_mutations,stale_write_blocked,overall_success,latency_ms
"EDIT_V2_A_BASELINE_M5_SMALL_PATCH_rep4","A_BASELINE","M5_SMALL_PATCH",4,false,null,true,0,false,false,39311
"EDIT_V2_A_BASELINE_M5_SMALL_PATCH_rep5","A_BASELINE","M5_SMALL_PATCH",5,false,null,true,0,false,false,44261
"EDIT_V2_A_BASELINE_M5_SMALL_PATCH_rep6","A_BASELINE","M5_SMALL_PATCH",6,false,null,true,0,false,false,45731
"EDIT_V2_A_BASELINE_M5_SMALL_PATCH_rep7","A_BASELINE","M5_SMALL_PATCH",7,false,null,true,0,false,false,37095
"EDIT_V2_A_BASELINE_M5_SMALL_PATCH_rep8","A_BASELINE","M5_SMALL_PATCH",8,false,null,true,0,false,false,43886
"EDIT_V2_A_BASELINE_M5_SMALL_PATCH_rep9","A_BASELINE","M5_SMALL_PATCH",9,false,null,true,0,false,false,38092
"EDIT_V2_A_BASELINE_M5_SMALL_PATCH_rep10","A_BASELINE","M5_SMALL_PATCH",10,false,null,true,0,false,false,41090
"EDIT_V2_A_BASELINE_M6_PRESERVE_SENTINELS_rep1","A_BASELINE","M6_PRESERVE_SENTINELS",1,true,null,false,1,false,false,51855
"EDIT_V2_A_BASELINE_M6_PRESERVE_SENTINELS_rep2","A_BASELINE","M6_PRESERVE_SENTINELS",2,true,null,false,1,false,false,50807
"EDIT_V2_A_BASELINE_M6_PRESERVE_SENTINELS_rep3","A_BASELINE","M6_PRESERVE_SENTINELS",3,true,null,false,1,false,false,51473
"EDIT_V2_A_BASELINE_M6_PRESERVE_SENTINELS_rep4","A_BASELINE","M6_PRESERVE_SENTINELS",4,true,null,false,1,false,false,53309
"EDIT_V2_A_BASELINE_M6_PRESERVE_SENTINELS_rep5","A_BASELINE","M6_PRESERVE_SENTINELS",5,true,null,true,0,false,true,29749
"EDIT_V2_A_BASELINE_M6_PRESERVE_SENTINELS_rep6","A_BASELINE","M6_PRESERVE_SENTINELS",6,true,null,false,1,false,false,51743
"EDIT_V2_A_BASELINE_M6_PRESERVE_SENTINELS_rep7","A_BASELINE","M6_PRESERVE_SENTINELS",7,true,null,false,1,false,false,55601
"EDIT_V2_A_BASELINE_M6_PRESERVE_SENTINELS_rep8","A_BASELINE","M6_PRESERVE_SENTINELS",8,false,null,true,0,false,false,40577
"EDIT_V2_A_BASELINE_M6_PRESERVE_SENTINELS_rep9","A_BASELINE","M6_PRESERVE_SENTINELS",9,true,null,false,1,false,false,54651
"EDIT_V2_A_BASELINE_M6_PRESERVE_SENTINELS_rep10","A_BASELINE","M6_PRESERVE_SENTINELS",10,true,null,true,0,false,true,35294
"EDIT_V2_A_BASELINE_M7_LINE_ENDINGS_rep1","A_BASELINE","M7_LINE_ENDINGS",1,false,null,true,0,false,false,40963
"EDIT_V2_A_BASELINE_M7_LINE_ENDINGS_rep2","A_BASELINE","M7_LINE_ENDINGS",2,false,null,true,0,false,false,39965
"EDIT_V2_A_BASELINE_M7_LINE_ENDINGS_rep3","A_BASELINE","M7_LINE_ENDINGS",3,false,null,true,0,false,false,40370
"EDIT_V2_A_BASELINE_M7_LINE_ENDINGS_rep4","A_BASELINE","M7_LINE_ENDINGS",4,false,null,true,0,false,false,40557
"EDIT_V2_A_BASELINE_M7_LINE_ENDINGS_rep5","A_BASELINE","M7_LINE_ENDINGS",5,false,null,true,0,false,false,40615
"EDIT_V2_A_BASELINE_M7_LINE_ENDINGS_rep6","A_BASELINE","M7_LINE_ENDINGS",6,false,null,true,0,false,false,36584
"EDIT_V2_A_BASELINE_M7_LINE_ENDINGS_rep7","A_BASELINE","M7_LINE_ENDINGS",7,false,null,true,0,false,false,34023
"EDIT_V2_A_BASELINE_M7_LINE_ENDINGS_rep8","A_BASELINE","M7_LINE_ENDINGS",8,false,null,true,0,false,false,37771
"EDIT_V2_A_BASELINE_M7_LINE_ENDINGS_rep9","A_BASELINE","M7_LINE_ENDINGS",9,false,null,true,0,false,false,34746
