run_id,task_id,num_ctx,repeat,overall_success,total_latency_ms
"20260827T023500Z_CTX_8192_M11_CONSTRAINT_RETENTION_rep5","M11_CONSTRAINT_RETENTION",8192,5,false,11732
"20260827T023500Z_CTX_8192_M12_FOCUSED_FILE_rep1","M12_FOCUSED_FILE",8192,1,false,11827
"20260827T023500Z_CTX_8192_M12_FOCUSED_FILE_rep2","M12_FOCUSED_FILE",8192,2,false,12593
"20260827T023500Z_CTX_8192_M12_FOCUSED_FILE_rep3","M12_FOCUSED_FILE",8192,3,false,11802
"20260827T023500Z_CTX_8192_M12_FOCUSED_FILE_rep4","M12_FOCUSED_FILE",8192,4,false,12798
"20260827T023500Z_CTX_8192_M12_FOCUSED_FILE_rep5","M12_FOCUSED_FILE",8192,5,false,11956
"20260827T023500Z_CTX_12288_M2_DISCOVER_FILE_rep1","M2_DISCOVER_FILE",12288,1,false,15086
"20260827T023500Z_CTX_12288_M2_DISCOVER_FILE_rep2","M2_DISCOVER_FILE",12288,2,false,15050
"20260827T023500Z_CTX_12288_M2_DISCOVER_FILE_rep3","M2_DISCOVER_FILE",12288,3,false,15050
"20260827T023500Z_CTX_12288_M2_DISCOVER_FILE_rep4","M2_DISCOVER_FILE",12288,4,false,17506
"20260827T023500Z_CTX_12288_M2_DISCOVER_FILE_rep5","M2_DISCOVER_FILE",12288,5,false,13628
"20260827T023500Z_CTX_12288_M8_DISTRACTOR_FILES_rep1","M8_DISTRACTOR_FILES",12288,1,false,11824
"20260827T023500Z_CTX_12288_M8_DISTRACTOR_FILES_rep2","M8_DISTRACTOR_FILES",12288,2,false,11888
"20260827T023500Z_CTX_12288_M8_DISTRACTOR_FILES_rep3","M8_DISTRACTOR_FILES",12288,3,false,11741
"20260827T023500Z_CTX_12288_M8_DISTRACTOR_FILES_rep4","M8_DISTRACTOR_FILES",12288,4,false,11875
"20260827T023500Z_CTX_12288_M8_DISTRACTOR_FILES_rep5","M8_DISTRACTOR_FILES",12288,5,false,11845
"20260827T023500Z_CTX_12288_M10_RETRY_RECOVERY_rep1","M10_RETRY_RECOVERY",12288,1,false,27248
"20260827T023500Z_CTX_12288_M10_RETRY_RECOVERY_rep2","M10_RETRY_RECOVERY",12288,2,false,45558
"20260827T023500Z_CTX_12288_M10_RETRY_RECOVERY_rep3","M10_RETRY_RECOVERY",12288,3,false,90162
"20260827T023500Z_CTX_12288_M10_RETRY_RECOVERY_rep4","M10_RETRY_RECOVERY",12288,4,false,27242
"20260827T023500Z_CTX_12288_M10_RETRY_RECOVERY_rep5","M10_RETRY_RECOVERY",12288,5,false,36838
"20260827T023500Z_CTX_12288_M11_CONSTRAINT_RETENTION_rep1","M11_CONSTRAINT_RETENTION",12288,1,false,12014
"20260827T023500Z_CTX_12288_M11_CONSTRAINT_RETENTION_rep2","M11_CONSTRAINT_RETENTION",12288,2,false,11142
"20260827T023500Z_CTX_12288_M11_CONSTRAINT_RETENTION_rep3","M11_CONSTRAINT_RETENTION",12288,3,false,11625
"20260827T023500Z_CTX_12288_M11_CONSTRAINT_RETENTION_rep4","M11_CONSTRAINT_RETENTION",12288,4,false,11743
"20260827T023500Z_CTX_12288_M11_CONSTRAINT_RETENTION_rep5","M11_CONSTRAINT_RETENTION",12288,5,false,11730
"20260827T023500Z_CTX_12288_M12_FOCUSED_FILE_rep1","M12_FOCUSED_FILE",12288,1,false,11854
"20260827T023500Z_CTX_12288_M12_FOCUSED_FILE_rep2","M12_FOCUSED_FILE",12288,2,false,11768
"20260827T023500Z_CTX_12288_M12_FOCUSED_FILE_rep3","M12_FOCUSED_FILE",12288,3,false,12615
"20260827T023500Z_CTX_12288_M12_FOCUSED_FILE_rep4","M12_FOCUSED_FILE",12288,4,false,11853
"20260827T023500Z_CTX_12288_M12_FOCUSED_FILE_rep5","M12_FOCUSED_FILE",12288,5,false,11783
"20260827T023500Z_CTX_16384_M2_DISCOVER_FILE_rep1","M2_DISCOVER_FILE",16384,1,false,15138
"20260827T023500Z_CTX_16384_M2_DISCOVER_FILE_rep2","M2_DISCOVER_FILE",16384,2,false,15107
"20260827T023500Z_CTX_16384_M2_DISCOVER_FILE_rep3","M2_DISCOVER_FILE",16384,3,false,15225
"20260827T023500Z_CTX_16384_M2_DISCOVER_FILE_rep4","M2_DISCOVER_FILE",16384,4,false,15218
"20260827T023500Z_CTX_16384_M2_DISCOVER_FILE_rep5","M2_DISCOVER_FILE",16384,5,false,15041
"20260827T023500Z_CTX_16384_M8_DISTRACTOR_FILES_rep1","M8_DISTRACTOR_FILES",16384,1,false,12099
"20260827T023500Z_CTX_16384_M8_DISTRACTOR_FILES_rep2","M8_DISTRACTOR_FILES",16384,2,false,11781
"20260827T023500Z_CTX_16384_M8_DISTRACTOR_FILES_rep3","M8_DISTRACTOR_FILES",16384,3,false,11775
"20260827T023500Z_CTX_16384_M8_DISTRACTOR_FILES_rep4","M8_DISTRACTOR_FILES",16384,4,false,11762
"20260827T023500Z_CTX_16384_M8_DISTRACTOR_FILES_rep5","M8_DISTRACTOR_FILES",16384,5,false,11782
"20260827T023500Z_CTX_16384_M10_RETRY_RECOVERY_rep1","M10_RETRY_RECOVERY",16384,1,false,35697
"20260827T023500Z_CTX_16384_M10_RETRY_RECOVERY_rep2","M10_RETRY_RECOVERY",16384,2,false,71311
"20260827T023500Z_CTX_16384_M10_RETRY_RECOVERY_rep3","M10_RETRY_RECOVERY",16384,3,false,45874
"20260827T023500Z_CTX_16384_M10_RETRY_RECOVERY_rep4","M10_RETRY_RECOVERY",16384,4,false,45285
"20260827T023500Z_CTX_16384_M10_RETRY_RECOVERY_rep5","M10_RETRY_RECOVERY",16384,5,false,90441
"20260827T023500Z_CTX_16384_M11_CONSTRAINT_RETENTION_rep1","M11_CONSTRAINT_RETENTION",16384,1,false,11913
"20260827T023500Z_CTX_16384_M11_CONSTRAINT_RETENTION_rep2","M11_CONSTRAINT_RETENTION",16384,2,false,11839
"20260827T023500Z_CTX_16384_M11_CONSTRAINT_RETENTION_rep3","M11_CONSTRAINT_RETENTION",16384,3,false,11761
"20260827T023500Z_CTX_16384_M11_CONSTRAINT_RETENTION_rep4","M11_CONSTRAINT_RETENTION",16384,4,false,11674
"20260827T023500Z_CTX_16384_M11_CONSTRAINT_RETENTION_rep5","M11_CONSTRAINT_RETENTION",16384,5,false,11715
"20260827T023500Z_CTX_16384_M12_FOCUSED_FILE_rep1","M12_FOCUSED_FILE",16384,1,false,11969
"20260827T023500Z_CTX_16384_M12_FOCUSED_FILE_rep2","M12_FOCUSED_FILE",16384,2,false,11670
"20260827T023500Z_CTX_16384_M12_FOCUSED_FILE_rep3","M12_FOCUSED_FILE",16384,3,false,11114
"20260827T023500Z_CTX_16384_M12_FOCUSED_FILE_rep4","M12_FOCUSED_FILE",16384,4,false,15906
"20260827T023500Z_CTX_16384_M12_FOCUSED_FILE_rep5","M12_FOCUSED_FILE",16384,5,false,11888
